longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
72.94807769,19.08956597,33,1438,770,3061,1133,0.416899081,1641025.347,NEAR OCEAN
72.80587137,19.19706421,31,4275,1624,1208,458,0.432242939,763932.343,NEAR OCEAN
72.82836925,19.08063722,49,694,439,4886,367,1.196992314,2723920.649,NEAR OCEAN
72.89322187,19.02829148,38,2400,1126,595,2488,1.028650426,972219.8298,NEAR OCEAN
72.92795553,19.09299803,22,4918,1885,4482,632,1.391499832,4670827.251,NEAR OCEAN
72.8093778,18.97344377,49,2788,1426,2905,229,1.257941446,2639070.257,NEAR OCEAN
72.87515018,19.06680226,17,5425,1448,3212,360,1.337262322,2608515.252,NEAR OCEAN
72.89148975,19.09875243,26,1099,238,1596,2420,0.956287442,2550890.02,NEAR OCEAN
72.92219329,19.20357334,37,491,1098,651,1325,0.571826103,893041.6707,NEAR OCEAN
72.88779585,19.01414791,21,995,680,630,1440,0.653125142,965142.9185,NEAR OCEAN
72.84443538,19.15552988,5,3741,1051,3620,575,1.625164151,6852455.849,NEAR OCEAN
72.86174665,19.17057684,36,4566,287,4418,563,0.660403021,2267417.168,NEAR OCEAN
72.8922809,19.23185432,29,3400,942,2831,1789,0.316157204,985571.3698,NEAR OCEAN
72.86303326,19.239407,23,2800,106,3065,2197,0.487634673,2527855.515,NEAR OCEAN
72.81086524,18.9092084,15,338,332,574,261,0.259553352,1293294.082,NEAR OCEAN
72.81705711,19.19825864,45,2506,120,4213,2064,0.921410908,642427.0924,NEAR OCEAN
72.97601335,19.17180745,44,1468,1742,4556,175,0.404795907,392897.6605,NEAR OCEAN
72.80278963,19.1477684,32,4402,1028,2585,1877,0.492084064,1017615.62,NEAR OCEAN
72.8069346,19.23540157,12,5814,813,1487,1946,0.267031095,240640.1767,NEAR OCEAN
72.91727099,19.02680642,25,2032,824,203,689,0.882460513,1033645.753,NEAR OCEAN
72.8692168,19.23186554,38,5825,746,545,2449,1.360883504,2717997.606,NEAR OCEAN
72.81719774,19.16626513,26,3699,1429,2064,967,1.094601648,1482186.703,NEAR OCEAN
72.82652018,19.07434635,18,2651,1606,3981,1181,0.948098561,4317529.786,NEAR OCEAN
72.80924742,19.25222459,30,1304,1079,4364,2058,0.50441995,305941.9813,NEAR OCEAN
72.80571754,19.19986464,33,5459,1399,1391,1067,0.731615,550315.3453,NEAR OCEAN
72.94264335,19.13404294,5,1843,1866,496,1993,0.285962586,1897339.994,NEAR OCEAN
72.80156945,18.96584019,10,4516,139,1872,2144,1.032643093,1755755.009,NEAR OCEAN
72.94121498,19.17862985,12,560,961,4904,997,0.135203294,922439.2485,NEAR OCEAN
72.80371281,19.16581162,11,788,1110,2900,814,0.414912878,969741.6761,NEAR OCEAN
72.81806053,18.96134809,38,463,1735,890,553,0.803216189,2460911.673,NEAR OCEAN
72.84092576,19.06161196,9,5803,732,808,658,2.130464373,11236133.73,NEAR OCEAN
72.83243863,18.97965682,46,4637,466,4722,529,0.582386057,2592595.807,NEAR OCEAN
72.79223341,19.25827745,41,5599,999,1508,2119,0.480034294,303597.0931,NEAR OCEAN
72.79876173,19.14032051,41,2462,990,2937,983,0.568633503,958172.1846,NEAR OCEAN
72.91780073,19.20829369,11,859,491,4163,363,0.181483564,927242.2956,NEAR OCEAN
72.83741251,19.00046092,8,4021,984,2332,1832,1.254502689,4950592.309,NEAR OCEAN
72.80261655,19.15657479,36,3792,1671,420,2437,0.595088884,987356.5745,NEAR OCEAN
72.868507,19.15572935,20,4891,1264,1558,156,0.418582599,2027829.889,NEAR OCEAN
72.89548953,19.20558407,15,5589,1062,2306,1779,0.872417634,868545.8835,NEAR OCEAN
72.86182381,19.1446475,47,397,605,3612,589,1.100576474,2610088.152,NEAR OCEAN
72.79743541,19.25927399,24,2481,1529,4114,2450,0.359782779,520807.0372,NEAR OCEAN
72.92538626,19.19967042,30,5274,1419,1128,2342,0.942666983,850251.8878,NEAR OCEAN
72.81593694,19.1404861,9,1036,454,4925,1029,0.97271395,1204384.716,NEAR OCEAN
72.96906687,19.16507363,45,731,947,3677,346,1.017042288,561064.285,NEAR OCEAN
72.93102361,19.15622689,42,913,357,2067,1567,1.067146801,1593241.092,NEAR OCEAN
72.95579132,19.11984222,49,4223,1031,3763,2372,0.864762995,739434.9642,NEAR OCEAN
72.93845273,19.0441131,37,3697,601,4323,1563,1.008524592,862189.7638,NEAR OCEAN
72.83653452,19.06972765,41,2322,1295,2990,1414,2.137945742,7999700.953,NEAR OCEAN
72.9003247,19.10561266,16,2919,394,1279,180,0.608907052,4172391.099,NEAR OCEAN
72.91303968,19.02646487,38,5907,1244,908,594,0.844352795,1015996.146,NEAR OCEAN
72.82284604,19.0160724,11,5138,1410,1603,1394,1.5267338,9775458.567,NEAR OCEAN
72.8872717,19.05415868,5,4196,1499,1807,1602,0.751673268,2411540.957,NEAR OCEAN
72.88221316,19.08041968,25,2624,1420,4805,928,1.040439417,2959735.317,NEAR OCEAN
72.92200008,19.16376993,19,3724,220,2104,2393,0.314285951,1277246.449,NEAR OCEAN
72.84179116,19.06880176,31,4229,152,250,1852,1.861921337,7003957.292,NEAR OCEAN
72.85005025,19.21494346,23,2115,502,2830,1373,0.388269834,1747220.489,NEAR OCEAN
72.85280067,19.22002994,39,5707,784,3564,475,0.414963666,2409881.422,NEAR OCEAN
72.95915103,19.05532537,37,4679,787,3946,1617,0.631746039,349318.9305,NEAR OCEAN
72.94816838,19.05536334,31,4638,1246,3206,1283,1.095172717,882470.9752,NEAR OCEAN
72.82436206,19.07752717,17,3296,772,4083,126,1.255720554,3154073.306,NEAR OCEAN
72.87995956,19.05866027,23,2959,1466,2607,608,0.73694522,2527955.891,NEAR OCEAN
72.81569145,19.12864421,25,2057,596,4917,1625,0.448459227,1078662.876,NEAR OCEAN
72.91767547,19.18013601,7,1744,1118,1689,477,0.9440973,1058166.111,NEAR OCEAN
72.82779281,18.92304217,43,838,764,755,1377,1.450978948,5887032.527,NEAR OCEAN
72.9051551,19.04612259,24,4717,347,3497,404,0.985386666,1758599.17,NEAR OCEAN
72.82644036,18.97335785,43,5893,1363,4229,909,0.942252811,2168810.253,NEAR OCEAN
72.87165407,19.12598675,18,734,469,1457,868,1.070521349,2330065.325,NEAR OCEAN
72.85326233,19.16127009,35,3184,1293,1564,2146,1.324033986,5125622.497,NEAR OCEAN
72.84146745,19.1227639,27,3820,394,4694,1759,1.187584504,4759808.194,NEAR OCEAN
72.81189862,19.14359327,26,4666,1739,3071,2365,0.435282613,1172336.203,NEAR OCEAN
72.90325806,19.0612689,10,5176,926,466,1464,0.963908909,3238911.672,NEAR OCEAN
72.9252817,19.0219728,21,2303,564,4315,1452,0.710674512,704817.1081,NEAR OCEAN
72.92704132,19.12723616,18,401,606,979,1407,1.034773151,5846018.135,NEAR OCEAN
72.92695254,19.16863844,27,2361,1011,3789,468,0.986277086,1163705.262,NEAR OCEAN
72.88189989,19.06261959,49,3141,1457,979,1401,0.450085363,3100979.643,NEAR OCEAN
72.88395797,19.04532939,16,5482,571,4491,1674,0.527074588,1562369.388,NEAR OCEAN
72.87600791,19.08554493,9,5657,948,3238,2303,0.882099103,1831774.082,NEAR OCEAN
72.82303604,19.06283231,13,1174,378,2272,2421,1.253673937,6703250.445,NEAR OCEAN
72.93868082,19.10477266,31,5035,896,4534,411,0.397169568,2678846.606,NEAR OCEAN
72.93135249,19.1980519,48,492,1959,2948,2343,1.029454755,893806.9768,NEAR OCEAN
72.90479495,19.17951722,35,5433,1100,2821,428,0.625110556,1091318.913,NEAR OCEAN
72.86917158,19.01802428,44,4155,795,627,152,1.137158882,1509163.036,NEAR OCEAN
72.84518074,19.05989031,17,1632,1121,1035,1745,1.202592556,8084575.321,NEAR OCEAN
72.86470444,19.26172198,26,609,1708,2105,976,0.439598558,725704.3093,NEAR OCEAN
72.949288,19.17468151,5,1900,1884,3429,274,0.203009017,776142.1808,NEAR OCEAN
72.90327807,19.20548031,28,2320,1051,3863,140,0.414123152,871791.2981,NEAR OCEAN
72.84786536,19.1187079,14,4910,292,971,2062,1.529310738,7680307.149,NEAR OCEAN
72.87334666,19.2170736,48,1001,423,4606,2177,1.232302097,1792729.095,NEAR OCEAN
72.85654226,19.12396213,32,1789,176,4759,1455,1.507271003,5402799.725,NEAR OCEAN
72.82728393,18.97437783,35,2779,171,3244,2220,0.879778946,2491704.835,NEAR OCEAN
72.87027798,19.20082542,49,2199,1360,2707,1603,0.262108991,1045278.121,NEAR OCEAN
72.88582843,19.12529845,6,5279,1136,2680,1087,0.902822889,2226453.669,NEAR OCEAN
72.82882035,19.23480617,30,5458,639,3426,705,0.120566002,780816.0185,NEAR OCEAN
72.82184415,19.12507191,42,2313,1833,213,2416,1.042062712,1254692.018,NEAR OCEAN
72.85890475,19.21712137,8,3673,1813,4244,767,1.322301391,2416985.597,NEAR OCEAN
72.82862278,19.10639403,31,3436,1379,1637,110,0.65890911,1585658.873,NEAR OCEAN
72.84124738,19.05093886,17,4795,1871,2496,373,1.851116688,8493486.719,NEAR OCEAN
72.89521271,19.09992509,49,742,513,2478,1153,1.027552865,3004210.73,NEAR OCEAN
72.85187602,19.06293678,23,3836,1402,3540,1245,1.063767247,4731034.499,NEAR OCEAN
72.87617528,19.18143328,14,4778,910,1986,760,0.718036453,1184553.498,NEAR OCEAN
72.93802295,19.08249089,25,3816,301,1346,2404,1.432091098,3799927.593,NEAR OCEAN
72.94415109,19.12228312,38,2518,697,2218,905,0.898975532,1933351.112,NEAR OCEAN
72.86131323,19.20744458,46,2191,1977,2444,1488,0.376250464,1469263.851,NEAR OCEAN
72.87864191,19.08128372,47,783,1857,1009,1011,0.325191959,2266298.734,NEAR OCEAN
72.94355229,19.06526019,30,5747,1497,4354,788,0.386191625,1445909.767,NEAR OCEAN
72.86444936,19.1125374,5,1518,1831,1374,2084,1.263742612,2850308.677,NEAR OCEAN
72.85343484,19.05527287,31,2850,541,3387,1703,1.372393513,4368102.416,NEAR OCEAN
72.78973837,19.20959825,44,2031,648,4467,2471,0.653845137,331912.9357,NEAR OCEAN
72.95334527,19.13636249,37,4186,1842,3691,1938,0.945597168,969919.2564,NEAR OCEAN
72.89989115,19.1967782,38,1798,1611,456,1637,0.153799167,876608.9055,NEAR OCEAN
72.82629077,19.06915777,31,1858,771,3842,2307,0.966754903,6340084.646,NEAR OCEAN
72.87722036,19.20706738,22,399,189,299,494,0.179994824,1246301.446,NEAR OCEAN
72.91687307,19.10842633,17,975,1853,2893,2023,1.724307676,7822084.065,NEAR OCEAN
72.89717132,19.13339966,47,3724,1685,2384,406,0.48991762,3393579.081,NEAR OCEAN
72.9097724,19.22064338,45,4644,1040,1723,1877,0.724681346,788816.4828,NEAR OCEAN
72.88979624,19.07776987,14,3418,1973,3498,1341,0.863248202,3958302.192,NEAR OCEAN
72.94052298,19.08550137,21,3566,1086,4623,1908,0.657512598,3038603.11,NEAR OCEAN
72.90882239,19.04532353,19,5016,131,3503,913,0.957843928,1751309.464,NEAR OCEAN
72.82024004,18.92174616,7,351,1863,4262,1602,1.683227717,5236351.701,NEAR OCEAN
72.88625111,19.12899903,47,2433,312,492,1865,0.495880714,2142432.201,NEAR OCEAN
72.8159182,19.16695791,15,2450,591,3473,1274,1.160253672,1550606.372,NEAR OCEAN
72.92200459,19.18848919,25,4168,800,2599,1012,0.333910464,1032878.118,NEAR OCEAN
72.85740658,19.12964586,28,413,159,4156,2127,1.143424578,4188196.344,NEAR OCEAN
72.80690146,18.9774931,33,2714,1584,3359,2324,1.288218591,3058270.436,NEAR OCEAN
72.82955183,19.24693458,14,2857,1435,1029,1244,0.270539174,652600.3252,NEAR OCEAN
72.8979521,19.04798161,11,903,680,3509,2256,0.404322098,1799769.519,NEAR OCEAN
72.90550116,19.02138203,47,4641,155,1737,2484,1.110561309,866449.859,NEAR OCEAN
72.79571049,19.16504474,47,5783,618,2307,604,0.62792258,899773.3427,NEAR OCEAN
72.9259425,19.04147661,46,2111,1623,3948,1608,0.82556636,1121039.619,NEAR OCEAN
72.90373905,19.03462646,34,5237,1817,4193,1114,0.818206221,1201255.708,NEAR OCEAN
72.90273523,19.1362255,30,3649,1265,438,1256,0.592263658,3669936.445,NEAR OCEAN
72.83422673,19.11504555,12,5960,691,1763,1964,0.389367685,2721573.48,NEAR OCEAN
72.80382984,19.19091902,30,4692,1262,3356,245,0.882886519,758324.3947,NEAR OCEAN
72.82169642,18.9800653,43,5422,1550,2203,560,0.82548874,3334398.951,NEAR OCEAN
72.95862149,19.12832197,41,2435,1082,1034,859,0.63141468,659343.7144,NEAR OCEAN
72.85295517,19.0423732,7,4132,540,1565,2431,1.488333316,4153029.537,NEAR OCEAN
72.96183218,19.16132528,17,1554,659,4246,2484,0.787463402,494376.8039,NEAR OCEAN
72.85742288,19.17226821,34,503,1554,505,2432,0.91534039,2599004.961,NEAR OCEAN
72.9142506,19.19141698,7,1104,428,1092,1234,0.180624956,893796.7045,NEAR OCEAN
72.84683107,19.26674168,36,5622,1681,2197,1327,0.969841724,496380.1675,NEAR OCEAN
72.88667942,19.01808927,44,1095,1631,3890,676,0.337958591,984764.9922,NEAR OCEAN
72.90217802,19.21492978,9,4283,1943,1788,1015,0.631732438,1011594.543,NEAR OCEAN
72.85630942,19.19754406,13,4445,330,513,2008,0.469405344,1254085.342,NEAR OCEAN
72.83603483,19.23244091,39,430,545,3120,277,1.040346313,934641.7779,NEAR OCEAN
72.90988022,19.03702996,8,5872,1619,1722,471,0.965381531,1346685.909,NEAR OCEAN
72.83310996,18.95689825,38,402,573,560,2346,0.511028157,2597683.875,NEAR OCEAN
72.85368816,19.11196734,23,5003,1925,4827,2000,0.919324528,4698075.272,NEAR OCEAN
72.83571251,18.94628408,6,3310,1175,2262,1263,0.775760291,4609094.688,NEAR OCEAN
72.92368847,19.08657815,39,2796,814,608,1580,1.288340833,6826181.961,NEAR OCEAN
72.83087941,19.05341818,17,2390,575,2808,511,1.74357095,10807496.54,NEAR OCEAN
72.88897867,19.18955793,37,2563,1275,4842,957,0.993628077,883157.6518,NEAR OCEAN
72.90554981,19.21684243,36,4734,1439,2824,889,0.308347836,977885.0557,NEAR OCEAN
72.91298519,19.1876249,12,5146,1170,3741,194,1.082871392,1149655.438,NEAR OCEAN
72.82685804,19.20131146,41,1737,1509,2643,1615,0.331523822,620395.4396,NEAR OCEAN
72.96167909,19.15577459,22,4693,1605,4103,148,0.586556504,743332.2738,NEAR OCEAN
72.80032304,19.17192461,36,556,822,2453,1948,0.625365996,887653.8819,NEAR OCEAN
72.8692591,19.23504917,41,3223,1551,484,1960,0.606092532,2529357.006,NEAR OCEAN
72.82926729,19.11456909,14,2372,731,2085,738,0.806407013,1746069.042,NEAR OCEAN
72.83314228,18.97131293,39,1249,1207,3888,728,0.639542915,1827624.349,NEAR OCEAN
72.92319319,19.10698904,8,4533,274,1510,1842,0.970361417,6098878.715,NEAR OCEAN
72.84051724,19.11033911,49,2464,1521,808,2217,1.259929845,3153589.918,NEAR OCEAN
72.8232489,19.003651,15,5975,1389,2769,1343,2.326485951,11374673.47,NEAR OCEAN
72.83687376,19.19287847,25,5368,1210,1325,649,0.976289977,1176980.127,NEAR OCEAN
72.82156686,19.1352783,29,3224,1226,3528,2439,0.619828834,1507699.215,NEAR OCEAN
72.81576167,19.12911336,44,821,1615,1989,1470,0.596045972,1155594.985,NEAR OCEAN
72.86262878,19.00617286,47,2727,1278,2038,1432,0.530469691,1811180.32,NEAR OCEAN
72.94338854,19.05790514,49,3044,885,644,1622,0.643650003,1115260.298,NEAR OCEAN
72.88614175,19.22008827,47,1074,273,3203,1799,0.976833156,1230772.824,NEAR OCEAN
72.8418025,18.95805521,17,5016,1600,4614,1979,1.048702459,1787817.532,NEAR OCEAN
72.85750012,19.18384164,47,3702,1695,442,2216,0.619075073,1672105.259,NEAR OCEAN
72.91687119,19.11887766,34,3216,513,4114,1901,3.084234422,15892491.69,NEAR OCEAN
72.93220695,19.17923393,13,3650,330,1932,1715,1.003360577,1076382.454,NEAR OCEAN
72.87639599,19.2298225,13,4736,737,3854,2306,1.284985818,2057031.736,NEAR OCEAN
72.88644524,19.15368555,25,1563,1996,3805,646,0.555672891,1318572.929,NEAR OCEAN
72.81766853,19.15535535,27,2488,1418,1191,1521,1.173254363,1607726.104,NEAR OCEAN
72.94288695,19.1814512,20,2796,1326,2516,923,0.947186501,928674.0212,NEAR OCEAN
72.86122587,19.20941052,22,5371,1231,4070,131,1.233295953,1636025.092,NEAR OCEAN
72.8327974,19.05186909,33,942,1712,2685,1296,1.528012519,10496126.54,NEAR OCEAN
72.82909818,18.97244067,5,2076,694,2625,1532,1.087377036,2124306.371,NEAR OCEAN
72.86825466,19.06391062,27,3157,934,477,1991,1.33381819,2369918.854,NEAR OCEAN
72.86618526,19.04843744,28,3005,1653,2307,965,0.326946312,2026544.836,NEAR OCEAN
72.86643996,19.19226101,33,900,854,265,345,0.181833973,1221181.601,NEAR OCEAN
72.85497075,19.04595076,45,3451,1615,3332,2198,0.923134727,3855141.891,NEAR OCEAN
72.86193808,19.14118343,22,5423,1909,718,656,0.790918763,2648177.22,NEAR OCEAN
72.85824733,19.12731941,47,933,1552,709,1558,1.014151939,4397073.763,NEAR OCEAN
72.80753613,19.25436182,28,4763,1564,4537,322,0.900904816,269591.7505,NEAR OCEAN
72.82433722,19.22242725,6,5017,1507,1857,1445,0.852104521,663927.3221,NEAR OCEAN
72.82597038,19.10555103,22,4183,1943,2625,2380,0.289988124,1198160.601,NEAR OCEAN
72.91336406,19.06735507,30,3026,421,3921,322,1.169088971,3665518.421,NEAR OCEAN
72.83308333,18.95313055,26,3317,449,2314,344,1.144215953,3400938.265,NEAR OCEAN
72.85580699,19.0341846,44,5000,174,1475,1195,1.073982308,3682243.264,NEAR OCEAN
72.91724038,19.12999113,29,1272,413,4250,281,1.951167446,8163235.828,NEAR OCEAN
72.81909564,19.1599351,46,2472,570,3337,730,0.774005833,1718710.333,NEAR OCEAN
72.9249842,19.08118178,31,5072,1143,2588,1078,1.490590621,9436827.935,NEAR OCEAN
72.93737754,19.08950997,20,3415,776,4872,1899,1.479236546,3432363.107,NEAR OCEAN
72.8016403,19.14366793,13,537,1369,2789,2402,0.295837551,836085.3632,NEAR OCEAN
72.80230265,19.16752487,35,3168,600,2392,2363,0.171217096,1026506.325,NEAR OCEAN
72.86911989,19.08320627,37,4430,1526,1888,462,1.209157841,1711908.697,NEAR OCEAN
72.93102809,19.16324148,27,3192,294,2804,1132,0.252868459,1126933.857,NEAR OCEAN
72.87188201,19.16959811,27,3614,900,1621,2326,0.251209294,1532133.537,NEAR OCEAN
72.90833397,19.03607282,20,2328,717,554,347,0.64954502,1365687.661,NEAR OCEAN
72.88024655,19.10457071,39,870,1212,4206,2122,1.220530245,1676373.64,NEAR OCEAN
72.88999948,19.17105794,45,3472,1472,1567,1707,1.10793824,1227962.8,NEAR OCEAN
72.88086245,19.11069096,49,5350,993,2464,894,0.282564477,1810976.179,NEAR OCEAN
72.8892246,19.20192886,24,4143,573,585,123,0.642000819,1102782.752,NEAR OCEAN
72.84287439,18.96367426,9,4415,1339,2651,685,0.511741603,1275404.979,NEAR OCEAN
72.91408127,19.16824494,29,3010,1127,2795,436,0.272700034,1233326.384,NEAR OCEAN
72.88583388,19.15498139,45,5505,830,653,1025,0.889929802,1410727.725,NEAR OCEAN
72.93236195,19.12161127,35,809,717,3578,483,1.651225892,4630758.364,NEAR OCEAN
72.82662933,19.0676532,47,2879,1604,2704,95,1.928666436,6988485.652,NEAR OCEAN
72.92424377,19.08535271,20,3697,997,4960,1762,1.117376688,7096877.931,NEAR OCEAN
72.82009986,18.90976208,11,5723,1198,1676,411,0.934900276,1720281.505,NEAR OCEAN
72.92962546,19.20576672,42,3192,774,4790,204,0.541006677,631299.5368,NEAR OCEAN
72.82914052,19.22848434,12,1526,1568,4954,1696,0.898363125,812689.9994,NEAR OCEAN
72.79361496,18.94911698,8,2287,940,2146,1492,1.064486704,1341725.888,NEAR OCEAN
72.79121921,19.1684035,37,5106,1832,1711,492,0.411622191,943369.2063,NEAR OCEAN
72.87777533,19.0502721,34,2025,254,3238,2393,1.270309325,2008996.421,NEAR OCEAN
72.88450526,19.08770328,29,1227,1936,4666,634,1.270405702,2260128.623,NEAR OCEAN
72.92006973,19.01409957,36,632,274,3611,599,0.782925756,904897.937,NEAR OCEAN
72.95362299,19.03888265,35,2663,688,3999,692,0.516171708,301142.2844,NEAR OCEAN
72.88659869,19.00679993,10,631,1671,1780,1644,0.571673355,867491.2422,NEAR OCEAN
72.90378827,19.04201415,24,2605,1593,2807,1173,0.432822915,1624458.322,NEAR OCEAN
72.96909879,19.16610691,35,766,1820,2402,2151,0.745145172,419661.9823,NEAR OCEAN
72.91779585,19.06034703,45,605,863,3454,1691,0.99560578,2829707.096,NEAR OCEAN
72.93021471,19.06635849,13,2225,782,229,2344,1.117272772,3584171.099,NEAR OCEAN
72.80078031,19.25779197,11,1657,359,2112,821,0.609703178,331074.0105,NEAR OCEAN
72.82113111,19.19189881,6,5262,966,2443,1463,1.082007312,708042.1961,NEAR OCEAN
72.86249694,19.22234942,41,1976,1856,506,1542,1.007840318,3176960.74,NEAR OCEAN
72.85691985,19.09205112,23,4490,1436,4301,86,0.350314224,1556117.452,NEAR OCEAN
72.8329046,19.11318254,48,2081,747,2662,1278,0.353056086,2281365.187,NEAR OCEAN
72.89488944,19.1194981,31,3250,1455,2307,1769,1.137474895,3877700.889,NEAR OCEAN
72.82988115,19.23436584,5,2180,1225,2234,450,0.210020941,639109.76,NEAR OCEAN
72.86905551,19.1725122,46,1708,1708,4937,2224,0.753646887,1685448.155,NEAR OCEAN
72.87972884,19.02166321,14,5874,1953,345,1182,0.500805077,1164118.086,NEAR OCEAN
72.88114082,19.08856024,41,4770,535,1963,1429,0.823884039,2162683.638,NEAR OCEAN
72.91148661,19.00785064,13,4364,1574,3912,133,0.735712109,773774.6759,NEAR OCEAN
72.83232349,19.05798964,31,2644,1817,4738,1230,2.342155031,14582254.82,NEAR OCEAN
72.82873871,19.11868146,19,3273,1045,4984,2234,1.038192064,1881435.398,NEAR OCEAN
72.9000956,19.08864334,47,5013,1243,4081,2335,1.357802366,3420938.909,NEAR OCEAN
72.85366364,19.01983633,5,2336,1875,1348,2178,0.909996472,4419401.857,NEAR OCEAN
72.88801189,19.16656665,23,3205,896,1364,1861,0.482130546,1225014.351,NEAR OCEAN
72.83812463,19.13340339,42,3127,979,1110,463,0.454738033,3052861.915,NEAR OCEAN
72.89659037,19.21497536,16,1387,783,3626,270,0.646958124,940776.4816,NEAR OCEAN
72.82642729,19.08265776,19,5373,1362,2845,112,0.869035917,2345387.608,NEAR OCEAN
72.83336232,19.01755157,49,655,1678,633,538,1.756087284,12033862.74,NEAR OCEAN
72.80568732,18.89756079,39,964,1976,3262,905,0.667699288,619905.8452,NEAR OCEAN
72.95461687,19.14984815,37,438,806,249,2196,0.116383573,724421.9947,NEAR OCEAN
72.81191194,19.13427445,33,3850,1579,4212,1610,0.266750863,1006119.24,NEAR OCEAN
72.88912514,19.11563776,20,3046,1520,2615,2397,0.517488035,2747889.686,NEAR OCEAN
72.91973152,19.07679749,8,2817,619,3312,314,1.059976325,6719388.388,NEAR OCEAN
72.94704808,19.07164735,49,1864,1672,1184,478,0.671510447,1618145.821,NEAR OCEAN
72.82541799,19.20213268,20,1825,870,3432,1674,0.148030951,660623.1036,NEAR OCEAN
72.84401832,18.95030888,30,5810,489,2082,1952,1.125922044,2081708.879,NEAR OCEAN
72.93139635,19.15889219,35,3216,1637,4024,553,0.824153349,1350394.594,NEAR OCEAN
72.88106321,19.08570378,46,2750,1142,2094,1727,0.471639862,2152355.293,NEAR OCEAN
72.96097331,19.17535416,44,4026,1503,270,1691,1.062888792,626672.8492,NEAR OCEAN
72.82469927,19.17382578,24,695,962,892,971,0.606160965,1844399.946,NEAR OCEAN
72.78809832,19.20405037,17,2361,1230,2717,1575,0.975453461,542237.1335,NEAR OCEAN
72.83932939,19.18254214,38,824,812,1959,2457,0.618273988,1783264.682,NEAR OCEAN
72.93921732,19.06323367,29,692,1987,2273,1795,0.304685163,1911451.681,NEAR OCEAN
72.87017084,19.14018252,46,4363,1874,750,205,0.533044699,1881966.508,NEAR OCEAN
72.84070572,19.22971719,44,3290,477,1155,899,1.066030378,1410119.167,NEAR OCEAN
72.8473224,19.16165892,14,762,586,4555,919,2.062409958,7697038.013,NEAR OCEAN
72.89761286,19.0018693,43,5720,834,3025,869,0.487538976,922024.9941,NEAR OCEAN
72.89747428,19.11135436,40,4818,104,2371,1940,0.863173242,4238360.141,NEAR OCEAN
72.90209364,19.13410745,21,2693,796,2140,106,1.42542978,4164423.116,NEAR OCEAN
72.84077098,19.06231144,36,5871,1384,257,1831,2.147546843,11099214.56,NEAR OCEAN
72.9384335,19.17788272,32,1222,311,2095,1315,0.897537313,902536.6371,NEAR OCEAN
72.92453351,19.20585438,27,1347,1111,4762,403,0.427374347,694664.3731,NEAR OCEAN
72.93211159,19.14996464,42,5614,541,3064,1439,0.365343589,1643410.251,NEAR OCEAN
